韻	字	簡化字	推導音	校正音	註	字頻
ui	睿		wui4			1390
e	宅		zhe2			1389
ou	祐	佑	you4			1388
ui	畏		wui4			1385
ing	靖		zing4			1384
ui	陲		chui2			1383
eng	霧	雾	meng2			1379
u	霧	雾	wu4			1379
iu	炬		ju4			1375
ou	溝	沟	gou1			1372
ou	誘	诱	you3			1372
u	儒		rhu2			1371
ang	煌		huang2			1369
en	辰		chen2			1369
u	弗		fu1			1360
y	汜		sy4			1360
an	蕃		fan1			1358
an	蕃		fan2			1358
y	疵		cy2			1357
ui	嘴		zui3			1356
u	估		gu3			1350
au	暴		bau4			1346
u	暴		bu2			1346
au	搞		jau3			1339
au	稿		gau3			1338
ang	倉	仓	cang1			1337
i	匹		pi1			1335
o	餓	饿	eo4			1333
u	粗		zu4			1330
u	孤		gu1			1328
i	冪	幂	mi1			1325
an	淺	浅	zian1			1324
an	淺	浅	cian3			1324
a	察		chua1			1323
an	婉		yuan3			1316
y	陑		el2			1313
in	津		zin1			1313
ang	桑		sang1			1313
i	肥		fi2			1311
a	挖		wa1			1308
ai	齋	斋	zhai1			1308
an	芄		huan2			1304
u	懋		mu4			1303
iung	恐		qung3			1301
iung	恐		qung4			1301
a	髮	发	fa1			1301
e	薛		sie1			1301
o	殼	壳	quo1			1300
an	偏		pian1			1298
an	偏		pian4			1298
au	烤		kau3			1296
o	厝		cuo1			1295
u	厝		cu4			1295
ang	湘		siang1			1295
ing	競	竞	jing4			1294
e	珀		pe1			1294
iu	役		yu1			1292
e	革		ge1			1291
o	駝	驼	tuo2			1289
an	腕		wan4			1288
i	姬		ji1			1286
i	姬		yi2			1286
ang	朗		lang3			1286
iu	籲	吁	yu4			1285
u	撲	扑	pu1			1285
an	菴	庵	an1			1282
an	菴	庵	yan1			1282
o	霍		huo1			1280
ung	聰	聪	cung1			1280
iu	鉅	巨	ju4			1274
i	蛇		yi2			1272
o	蛇		cheo2			1272
o	蛇		tuo1			1272
an	串		chuan4			1272
an	串		guan4			1272
iun	駿	骏	ziun4			1271
ing	鯨	鲸	qing2			1269
e	仄		zhe1			1268
iun	薰		xun1			1265
iun	薰		xun4			1265
ing	郱		ping2			1265
e	烈		lie1			1265
eng	楞		leng2			1264
i	禧		xi1			1261
e	墨		me1			1259
ui	蔚		wui4			1259
iu	蔚		yu1			1259
iu	虛	虚	xu1			1255
e	截		zie2			1253
e	隔		ge1			1251
an	暖		nuan3			1248
e	契		qe1			1245
i	契		qi1			1245
i	契		qi4			1245
an	漫		man4			1243
au	挑		tau1			1243
au	挑		tiau1			1243
au	挑		diau4			1243
au	挑		tiau3			1243
eng	馮	冯	feng2			1243
ing	馮	冯	ping2			1243
an	釩	钒	fan3			1243
i	翼		yi1			1242
an	狟		huan2			1237
an	籃	篮	lan2			1233
in	鄰	邻	lin2			1233
u	譜	谱	bu3			1232
an	翩		pian1			1231
an	纖	纤	sian1			1230
y	溼	湿	shy1			1227
ai	猜		cai1			1222
ai	陔		gai1			1221
en	圻		en2			1220
in	圻		yin2			1220
i	圻		qi2			1220
ai	邁	迈	mai4			1218
iung	胸		xung1			1209
ou	紐	纽	niou3			1206
an	傘	伞	san3			1204
ing	眳		ming3			1203
iu	菊		ju1			1203
iu	俗		siu2			1202
an	阮		yuan2			1200
an	阮		yuan3			1200
i	祕	秘	bi4			1197
u	茹		rhu2			1197
u	茹		rhu3			1197
u	茹		rhu4			1197
ai	駭	骇	xai4			1196
u	巫		wu2			1195
i	肺		fi4			1195
i	膩	腻	ni4			1194
i	逆		yi1			1193
e	匿		te1			1193
i	匿		ni1			1193
ui	吹		chui1			1192
ui	吹		chui4			1192
eng	珩		heng2			1191
o	徹	彻	cheo1			1191
o	徹	彻	zheo2			1191
en	眕		zhen3			1190
ing	餅	饼	bing3			1187
iun	韻	韵	yun4			1186
eng	衡		heng2			1184
en	噴	喷	pen1			1184
en	噴	喷	pen4			1184
an	拳		quan2			1183
o	佐		zuo4			1183
iun	淪	沦	liun2			1183
an	患		huan4			1181
i	眉		mi2			1181
an	殘	残	can2			1179
ing	逕	迳	jing4			1179
y	齒	齿	chy3			1178
y	脂		zhy1			1178
iung	濃	浓	niung2			1178
u	污		wu1			1177
an	寒		han2			1176
au	鯛	鲷	diau1			1176
ei	玫		mei2			1172
un	舜		shun4			1172
ing	苓		ling2			1170
ou	嘔	呕	ou1			1169
ou	嘔	呕	ou3			1169
i	誼	谊	yi4			1168
iu	敘	叙	siu4			1168
e	邪		sie2			1167
e	邪		ye2			1167
en	坋		fen4			1166
ai	貸	贷	tai4			1164
au	耗		hau4			1161
an	寰		huan2			1161
an	寰		xuan4			1161
ai	戒		jai4			1161
au	窖		jau4			1158
ang	絳	绛	jang4			1156
u	觸	触	chu1			1156
i	悲		bi1			1155
ou	臭		xou4			1151
ou	臭		chou4			1151
i	肌		ji1			1151
au	堯	尧	yau2			1150
iu	驉		xu1			1149
i	蜊		li2			1149
o	雀		ziuo1			1145
in	隱	隐	yin3			1144
in	隱	隐	yin4			1144
i	憩		qi4			1142
o	簿		buo2			1140
u	簿		bu4			1140
a	撒		sa1			1140
iun	尹		yun3			1139
an	伴		ban4			1138
ou	猴		hou2			1137
un	損	损	sun3			1137
au	狡		jau3			1135
u	熟		shu2			1133
u	謖	谡	shu1			1131
ou	趣		cou3			1128
iu	趣		ciu4			1128
ui	暉	晖	hui1			1126
an	幻		huan4			1126
u	哭		ku1			1124
au	抱		bau4			1123
o	螺		luo2			1123
an	杉		shan1			1123
ui	韋	韦	wui2			1122
o	禾		huo2			1119
au	吵		chau3			1119
au	吵		miau3			1119
au	炒		chau3			1118
iu	昱		yu1			1116
an	詮	诠	ciuan1			1116
o	奪	夺	duo2			1115
ui	隋		sui2			1114
o	隋		tuo3			1114
ui	蕾		lui3			1111
u	突		du2			1110
u	佈	布	bu4			1108
ou	銹	锈	siou4			1105
ai	呆		dai1			1105
ai	呆		ai2			1105
u	荂		fu1			1102
iu	荂		xu1			1102
e	椰		ye2			1101
i	棲	栖	si1			1100
u	薯		shu4			1099
an	嫌		xan2			1099
ang	亨		xang3			1095
eng	亨		heng1			1095
ing	亨		ping1			1095
in	吟		yin2			1094
in	吟		yin4			1094
u	扶		fu1			1092
u	扶		fu2			1092
iung	瑽		ciung1			1090
en	恨		hen4			1090
e	迭		die2			1089
an	坎		kan3			1089
e	悅	悦	yue1			1086
ou	丘		qou1			1085
iun	臐		xun1			1081
iun	臐		xun4			1081
a	滑		hua2			1080
u	滑		gu1			1080
u	滑		hu2			1080
u	嗚	呜	wu1			1079
ou	偷		tou1			1078
an	芊		cian1			1077
an	芊		cian4			1077
i	刺		ci1			1075
y	刺		cy4			1075
an	遍		bian4			1074
an	返		fan3			1073
iun	巡		siun2			1072
a	罵	骂	ma3			1071
a	罵	骂	ma4			1071
ang	艟		zhuang4			1071
ung	艟		chung1			1071
ang	撞		chuang2			1070
ang	撞		zhuang4			1070
an	尖		zian1			1062
ou	斗		dou3			1061
u	兔		tu4			1061
u	途		tu2			1060
ang	眶		kuang1			1059
y	邿		shy1			1059
au	帽		mau4			1057
a	踏		ta1			1055
o	梭		suo1			1054
ou	揉		rhou2			1053
ou	柔		rhou2			1052
ui	閨	闺	gui1			1051
in	迅		sin4			1049
iun	迅		siun4			1049
i	奕		yi1			1048
an	萱		xuan1			1048
eng	拼		beng1			1047
ing	拼		ping1			1047
i	彼		bi3			1044
ui	奎		kui1			1044
i	勵	励	li4			1042
iung	擁	拥	yung3			1041
in	玟		min2			1041
ai	柴		chai2			1038
ui	腿		tui3			1038
eng	盲		meng2			1038
y	仕		shy4			1036
ui	廥		kui4			1036
a	樺	桦	hua2			1036
a	樺	桦	hua4			1036
ai	栽		zai1			1035
ai	栽		zai4			1035
an	嘆	叹	tan1			1035
an	嘆	叹	tan4			1035
ui	皈		gui1			1035
ai	哉		zai1			1034
ai	災	灾	zai1			1034
en	臣		chen2			1034
u	卜		bu1			1032
eng	偵	侦	cheng1			1030
eng	偵	侦	cheng4			1030
eng	偵	侦	zheng4			1030
ui	迴	回	hui2			1028
ui	迴	回	hui4			1028
ung	种		chung2			1025
an	銓	铨	ciuan1			1025
iu	毓		yu1			1024
ing	摒		bing4			1023
e	脈	脉	me1			1022
e	赫		he1			1021
a	鴨	鸭	ya1			1021
e	嘿		he1			1021
an	炫		xuan4			1020
an	謙	谦	qan1			1019
au	窯	窑	yau2			1018
ou	丟	丢	diou1			1017
i	膝		si1			1016
ang	艙	舱	cang1			1013
u	悟		wu4			1013
u	誤	误	wu4			1011
ui	憝		dui4			1010
ou	鵂	鸺	xou1			1009
an	箭		zian4			1007
en	狠		hen4			1005
a	爬		pa2			1004
ui	蕙		hui4			1003
an	煩	烦	fan2			1003
e	拆		che1			1002
eng	凳		deng4			1000
eng	蹬		deng4			1000
au	掏		tau1			1000
au	掏		tau2			1000
iu	浴		yu1			999
an	燦	灿	can4			999
o	鍋	锅	guo1			998
i	戚		ci1			997
au	絞	绞	jau3			996
an	鉛	铅	yuan2			996
an	緩	缓	huan4			994
ung	桐		tung2			993
ai	擺	摆	bai3			993
an	遷	迁	cian1			991
y	褫		chy2			990
y	褫		chy3			990
y	褫		zhy4			990
an	畎		juan3			990
en	沉		chen2			987
ing	秉		bing3			987
eng	僧		seng1			985
iun	循		siun2			984
an	捐		yuan2			983
ou	鈕	钮	niou3			982
an	薦	荐	zian4			980
o	玻		puo1			978
ing	悻		xing4			978
e	幯		zie1			978
iu	袪	祛	qu1			973
au	濤	涛	tau2			972
eng	聖	圣	sheng4			970
iung	炯		jung3			967
iung	炯		xung4			967
ou	漏		lou4			964
an	炭		tan4			964
ou	瘤		liou2			963
ou	瘤		liou4			963
i	笛		di2			963
u	慕		mu4			963
ang	胖		pang4			960
ou	漱		shou4			960
ou	漱		sou4			960
e	瑟		she1			958
ui	穗		sui4			957
un	潤	润	rhun4			957
i	踢		ti1			956
an	壇	坛	tan2			955
ui	毀	毁	hui3			952
un	吻		wun3			952
eng	猛		meng3			951
ai	胎		tai1			950
an	眠		mian2			948
u	逐		zhu2			947
iung	弓		jung1			947
ing	菱		ling2			945
ou	遘		gou4			944
an	參	参	can1			944
an	參	参	san1			944
an	參	参	can4			944
en	參	参	chen1			944
en	參	参	shen1			944
i	熙		xi1			944
eng	鶯	莺	eng1			944
y	滋		zy1			943
ui	夔		kui2			939
ei	珮	佩	bei4			939
in	薪		sin1			937
ou	愁		chou2			936
a	瓜		gua1			935
u	埠		bu4			934
un	諢	诨	wun4			934
ung	桶		dung4			933
ung	桶		tung3			933
in	謹	谨	jin3			932
an	袁		yuan2			931
ing	徑	径	jing4			929
an	菸		yan1			928
iu	菸		yu4			928
ou	蒐	搜	shou1			924
u	捕		bu4			923
an	墊	垫	dian4			922
e	墊	垫	die2			922
ai	咳		hai2			921
e	咳		ke1			921
en	儿		rhen2			920
u	祿	禄	lu1			919
an	鑽	钻	zuan4			918
ou	珛		xou4			918
ang	擴	扩	huang4			915
i	蛾		yi3			914
o	蛾		eo2			914
iung	縱	纵	ziung1			913
iung	縱	纵	ziung4			913
o	躲		duo3			913
an	遣		qan3			913
an	遣		qan4			913
o	朵		duo3			912
i	謎	谜	mi4			912
an	剪		zian3			911
a	皻		zha1			910
ou	籌	筹	chou2			905
ang	擋	挡	dang3			904
ang	擋	挡	dang4			904
iung	恭		jung1			903
an	爰		yuan2			903
au	傲		au4			901
ang	忘		wang4			901
an	痰		tan2			901
iung	溶		yung2			901
iung	溶		yung3			901
ou	鄒	邹	zhou1			898
an	旦		dan4			898
ang	凰		huang2			897
ou	瀏	浏	liou2			896
ou	瀏	浏	liou3			896
u	賦	赋	fu4			896
eng	蜂		feng1			894
eng	蜂		peng2			894
an	繁		fan2			893
an	繁		pan2			893
o	繁		puo2			893
an	殷		yan1			892
in	殷		yin1			892
en	臻		zhen1			892
ui	揆		gui4			891
ei	培		pei2			890
u	培		bu4			890
eng	証	证	zheng4			890
y	馳	驰	chy2			889
ang	悵	怅	chang4			888
en	恁		rhen2			886
en	恁		rhen3			886
ang	妝	妆	zhuang1			884
au	恅		lau3			882
ou	勾		gou1			880
ui	催		cui1			879
u	芙		fu2			878
ui	崔		cui1			878
ui	崔		cui2			878
in	閩	闽	min2			877
un	閩	闽	wun2			877
iu	怴		xu1			875
a	蝸	蜗	gua1			875
o	蝸	蜗	guo1			875
i	隙		qi1			874
an	卞		bian4			874
e	迮		zhe1			873
o	迮		zuo1			873
e	斜		sie2			872
e	斜		ye2			872
ui	垂		chui2			872
an	撰		shuan4			872
an	輓	挽	wan3			869
an	輓	挽	wan4			869
e	虴		zhe1			867
i	遞	递	di4			866
ing	凝		ying2			865
ing	凝		ying4			865
o	鮥		luo1			864
eng	笙		sheng1			862
u	徒		tu2			862
ai	龤		xai2			859
ou	舅		jou4			858
ing	孕		ying4			857
ou	奏		zou4			855
u	煮		zhu3			854
an	燃		rhan2			853
ou	畜		chou4			853
u	畜		chu1			853
iu	畜		xu1			853
eng	晟		sheng4			852
iu	与		yu3			852
i	狄		di2			851
iu	俱		ju1			849
ou	謀	谋	miou2			848
i	屁		pi4			846
i	彌	弥	mi2			844
an	閃	闪	shan3			844
an	閃	闪	shan4			844
ou	琇		siou4			842
ou	琇		you3			842
u	浦		pu3			842
in	侵		cin1			840
an	肩		jan1			838
iu	磲		qu2			838
a	拔		ba2			838
a	拔		fa2			838
o	拔		buo2			838
u	膆	嗉	su4			836
an	譚	谭	tan2			833
an	譚	谭	dan4			833
ui	醉		zui4			833
i	蹄		ti2			832
ang	缸		gang1			830
ang	缸		xang2			830
ui	隳		hui1			829
u	怒		nu3			828
u	怒		nu4			828
ou	猶	犹	you2			828
ou	猶	犹	jou4			828
ou	猶	犹	you4			828
eng	庄		peng2			827
iun	郡		jun4			827
u	孚		fu1			826
u	阻		zhu3			826
u	阻		zhu4			826
a	卦		gua4			825
an	眷		juan4			825
iu	虞		yu2			825
eng	瘋	疯	feng1			824
i	气		qi4			824
i	綺	绮	qi3			823
an	妍		yan2			822
e	穴		xue2			822
i	衪		yi2			822
i	衪		yi3			822
ui	徽		hui1			822
an	貫	贯	guan1			819
an	貫	贯	guan4			819
i	拸		yi2			817
an	帆		fan2			816
an	帆		fan4			816
iu	緒	绪	siu4			814
an	勉		mian3			812
i	忌		ji4			812
i	揖		yi1			809
ang	隍		huang2			807
i	襲	袭	si2			806
i	懿		yi4			805
ing	瑛		ying1			804
ing	頸	颈	jing1			804
ing	頸	颈	qing2			804
ing	頸	颈	jing3			804
en	忍		rhen3			803
an	扇		shan1			802
an	扇		shan4			802
i	緋	绯	fi1			802
ui	軌	轨	gui3			801
eng	禎	祯	zheng1			800
ui	堆		dui1			798
iu	譽	誉	yu2			798
iu	譽	誉	yu4			798
ing	挺		ting2			797
ing	挺		ding4			797
a	岈		xa1			796
ang	醬	酱	ziang4			796
e	侐		xue1			796
ui	侐		hui4			796
iu	慾	欲	yu1			796
i	疾		zi2			796
eng	澄		cheng2			796
ai	迨		dai4			796
a	鞳		ta1			796
ung	痋		tung2			795
o	捨	舍	sheo3			793
ou	珋		liou3			792
e	鉻	铬	ge1			788
o	鉻	铬	luo1			788
ai	黛		dai4			788
ou	溜		liou4			787
an	鶠		yan3			787
ai	裁		cai2			786
ai	裁		zai4			786
eng	覂		feng3			784
an	彎	弯	wan1			784
ai	罷	罢	bai3			784
i	罷	罢	pi2			784
i	罷	罢	pi4			784
i	梯		ti1			783
an	闡	阐	chan3			782
y	殖		shy2			781
ei	煤		mei2			781
in	听		yin3			780
iung	凶		xung1			779
an	玷		dian3			778
u	滬	沪	hu4			776
ou	疣		you2			776
e	默		me1			776
iung	頌	颂	yung2			774
iung	頌	颂	siung4			774
u	娛	娱	wu4			774
iu	娛	娱	yu2			774
ai	篩	筛	shai1			773
y	篩	筛	shy1			773
iu	拒		ju4			773
u	鷺	鹭	lu4			773
a	珨		xa2			773
ai	孩		hai2			772
iung	隴	陇	liung3			771
iu	屈		ju1			770
iu	屈		qu1			770
au	筱		siau3			769
eng	耕		geng1			769
in	筋		jin1			768
au	激		jau4			768
i	激		ji1			768
ang	蒼	苍	cang1			765
ang	蒼	苍	cang3			765
iu	裕		yu4			764
u	督		du1			763
i	貍	狸	li2			763
in	撳	揿	qin4			762
iu	鋊		yu1			761
i	蚚		qi2			760
ui	蚚		hui4			760
an	膽	胆	dan3			759
a	娃		ya1			759
u	忽		hu1			759
ui	虫		hui3			758
an	旋		siuan2			757
an	旋		siuan4			757
i	跡	迹	zi1			754
u	汝		rhu3			753
eng	宬		cheng2			753
au	飄	飘	piau1			752
au	飄	飘	piau2			752
ang	傖	伧	cang1			752
eng	傖	伧	cheng2			752
ang	璋		zhang1			751
ung	哄		hung4			751
au	謅	诌	chau3			750
ou	謅	诌	chou1			750
an	藩		fan1			750
an	藩		fan2			750
an	磚	砖	zhuan1			750
ung	叢	丛	cung2			747
au	瞗		diau1			746
a	匣		xa2			746
i	敵	敌	di2			745
e	荎		die2			745
y	荎		chy2			745
iu	嶼	屿	siu4			745
u	蜀		shu2			744
an	廉		lian2			743
u	臚	胪	lu2			742
iu	臚	胪	liu2			742
eng	縫	缝	feng2			742
eng	縫	缝	feng4			742
o	磨		muo2			741
o	磨		muo4			741
an	魽		han2			741
ui	眭		hui1			740
ui	眭		sui1			740
ui	眭		hui2			740
i	幦		mi1			738
ui	鈉	钠	rhui4			737
u	牯		gu3			737
o	躍	跃	yuo1			737
e	极		je2			736
i	斐		fi3			736
u	疏		shu1			735
u	疏		shu4			735
i	飢	饥	ji1			734
an	辨		ban4			734
an	辨		bian4			734
en	妊		rhen4			733
an	梒		han2			733
ung	硐		tung2			732
ung	硐		dung4			732
u	戊		mu4			731
o	胺		eo1			731
ai	叉		chai1			730
a	叉		cha1			730
i	曆	历	li1			729
iun	筠		yun2			729
ui	魁		kui1			728
ui	邽		gui1			727
o	泊		buo2			726
ung	儂	侬	nung2			726
au	吊		diau4			726
e	聝		gue1			725
iung	龔	龚	jung1			725
ui	危		wui2			723
iun	葷	荤	xun1			722
au	禱	祷	dau3			722
au	禱	祷	dau4			722
an	掩		yan3			721
au	茠		hau1			720
au	翹	翘	qau2			720
au	翹	翘	jau4			720
i	机		ji1			720
i	机		ji3			720
an	弦		xan2			719
an	媛		yuan2			718
an	媛		yuan4			718
ui	慰		wui4			718
e	捏		nie1			716
en	慎		shen4			716
i	迡		ni4			716
ou	幽		you1			715
o	抹		muo1			714
ing	伶		ling2			713
ai	轄	辖	kai4			713
a	轄	辖	xa2			713
u	姑		gu1			712
ang	謗	谤	bang4			712
e	掰		be1			711
a	捌		ba1			710
au	肇		zhau4			710
u	殊		chu2			710
an	雁		yan4			709
an	勘		kan4			708
iu	坴		liu1			707
eng	秤		cheng4			702
a	渣		zha1			701
an	欠		qan4			700
y	恀		chy3			699
y	恀		shy4			699
y	恀		zhy3			699
au	胞		bau1			699
au	胞		pau1			699
au	曜		yau4			699
an	羶	膻	shan1			699
an	頒	颁	ban1			699
en	頒	颁	fen2			699
u	穆		mu1			699
an	趁		nian3			699
en	趁		chen2			699
en	趁		chen4			699
o	俄		eo2			698
iu	隅		yu2			697
ang	諒	谅	liang4			695
an	嶮		xan3			694
an	嶮		yan3			694
a	傻		shua3			693
a	傻		shua4			693
an	倩		cian4			692
ing	倩		cing4			692
ou	笱		gou3			692
o	摸		muo1			692
u	摸		mu2			692
eng	丰		feng1			691
ui	癸		gui3			691
a	丫		ya1			691
a	押		ja1			690
a	押		ya1			690
ui	虧	亏	kui1			690
ui	炊		chui1			690
au	炤	照	zhau4			689
ai	衩		chai4			689
a	衩		cha4			689
eng	捧		feng3			688
ang	惘		wang3			688
a	葭		ja1			688
o	陀		tuo2			688
e	獵	猎	lie1			687
an	坦		tan3			686
en	疢		chen4			686
en	紛	纷	fen1			686
ui	磊		lui3			685
an	甄		jan1			685
en	甄		zhen1			685
ung	筒		tung2			684
ung	筒		dung4			684
eng	澎		peng2			684
ing	澎		ping1			684
ang	樁	桩	zhuang1			683
iu	肅	肃	siu1			682
ai	岱		dai4			682
u	瞴		wu2			682
u	瞴		wu3			682
ui	兌	兑	dui4			681
i	暱	昵	ni1			681
u	溯		su4			679
iu	御		yu4			679
ui	違	违	wui2			677
ung	迵		dung4			676
a	罰	罚	fa2			676
iu	慮	虑	liu4			675
an	慘	惨	can3			674
y	汁		zhy1			674
i	梨		li2			672
an	鹼	硷	cian1			672
an	鹼	硷	jan3			672
i	洩	泄	yi4			672
o	酌		zhuo1			672
au	鬧	闹	nau4			668
ung	凍	冻	dung1			668
ung	凍	冻	dung4			668
e	燁	烨	ye1			668
an	釬	钎	han4			668
ang	肮		ang1			666
ang	肮		hang2			666
ang	滂		pang1			665
un	淳		chun2			665
au	豹		bau4			662
eng	杏		heng4			659
ai	械		xai4			657
e	玥		yue1			657
iu	煦		xu3			656
iu	煦		xu4			656
an	梵		fan4			656
eng	梵		feng2			656
i	几		ji3			655
u	几		chu2			655
eng	蒸		zheng1			655
a	筏		fa2			655
o	筏		buo1			655
eng	恒		heng2			655
eng	鬙		seng1			655
ung	蔥	葱	cung1			654
an	煥	焕	huan4			652
ang	仿		fang3			651
a	茄		ja1			650
e	茄		qe2			650
u	廚	厨	chu2			649
o	墣		puo1			648
u	墣		pu1			648
an	阪		ban4			647
an	阪		fan3			647
u	鑄	铸	zhu4			647
a	疤		ba1			646
e	嫳		pie1			645
e	爺	爷	ye2			645
ou	陡		dou3			644
iung	螢	萤	xung2			644
a	擦		ca1			644
au	搖	摇	yau2			641
an	喊		han3			641
an	喊		xan3			641
an	喊		xan4			641
i	擠	挤	zi1			640
i	擠	挤	zi4			640
ui	蕞		zui4			640
ung	鬆	松	sung1			640
ung	鬆	松	sung4			640
iung	鬆	松	ciung1			640
iung	鬆	松	siung1			640
eng	繩	绳	cheng2			638
o	朔		shuo1			638
o	朴		puo1			635
a	砑		ya4			635
u	賭	赌	du3			634
eng	矰		zeng1			634
e	迫		be1			633
e	蔔	卜	be2			632
an	讚	赞	zan4			632
ui	碎		sui4			632
u	措		cu4			631
an	攀		pan1			631
ang	螿		ziang1			630
an	訇		xuan2			629
ung	訇		hung1			629
u	叔		shu1			629
ang	誑	诳	guang4			629
iung	泳		yung4			628
i	儷	俪	li4			628
au	逃		tau2			627
ing	倞		jing4			625
eng	郕		cheng2			625
an	妗		chan1			623
an	妗		xan1			623
in	妗		jin4			623
iu	驅	驱	qu1			623
iu	驅	驱	qu4			623
ai	閡	阂	ai4			622
an	粘		nian2			622
en	痕		hen2			622
au	稻		dau4			622
i	嶧	峄	yi1			619
i	悉		si1			619
eng	牲		sheng1			619
u	窟		ku1			619
e	賊	贼	ze2			618
a	煞		sha1			616
i	柒		ci1			615
ung	絨	绒	rhung2			615
ing	淩		ling2			614
ung	蘢	茏	lung2			613
iung	蘢	茏	liung2			613
u	撫	抚	fu3			612
ang	逛		guang3			612
i	郋		xi2			611
i	逼		bi1			611
iu	陓		yu1			611
a	鞢		zha1			609
e	鞢		sie1			609
i	皉		ci3			608
an	鹹	咸	xan2			608
i	俟		qi2			608
y	俟		shy4			608
u	菇		gu1			607
ai	抬		tai2			607
e	劫		je1			606
iun	峻		siun4			605
an	扮		ban4			603
a	扮		hua3			603
en	扮		fen1			603
en	扮		fen3			603
en	扮		fen4			603
iung	傾	倾	qung1			603
an	怨		yuan1			603
an	怨		yuan4			603
ui	悔		hui3			602
ui	悔		hui4			602
an	衎		kan3			601
an	衎		kan4			601
e	裂		lie1			601
i	醴		li3			600
an	茜		cian4			600
ui	墜	坠	zhui4			600
an	衫		shan1			599
ang	闖	闯	chuang3			599
en	闖	闯	chen4			599
i	祈		qi2			599
y	遲	迟	chy2			599
o	齱		chuo1			598
ou	齱		zhou1			598
ang	塘		tang2			598
iun	勻	匀	yun2			597
e	忒		te1			597
i	羲		xi1			597
o	哿		geo3			596
ang	囊		nang2			596
ang	滄	沧	cang1			596
ang	滄	沧	chuang4			596
iu	鬱	郁	yu1			596
e	竭		je2			596
ang	晃		huang4			595
an	衍		yan3			594
an	衍		yan4			594
an	辯	辩	bian4			594
iung	拱		jung3			593
i	祺		qi2			592
an	黏		nian2			591
iung	窮	穷	qung2			591
eng	撐	撑	cheng4			590
y	郅		zhy1			590
au	鵰	雕	diau1			589
ou	玖		jou3			589
au	瑤	瑶	yau2			589
un	髡		kun1			589
o	捉		zhuo1			589
ung	礦	矿	gung3			588
ang	葬		zang4			588
i	晰		si1			588
ei	沛		bei4			586
ei	沛		pei4			586
e	獗		jue1			585
an	誕	诞	dan4			584
ung	腫	肿	zhung3			583
u	筑		zhu1			583
u	筑		zhu2			583
o	閤	合	geo1			583
u	努		nu3			583
y	矢		shy3			582
i	栗		li1			582
ung	騣	鬃	zung1			580
ung	泓		wung1			580
iu	瞿		qu2			579
iu	瞿		ju4			579
ung	瞳		tung2			579
un	醇		chun2			576
iung	泂		xung4			574
an	郔		yan2			574
an	嵌		qan1			574
an	嵌		zan4			574
ou	俞		chou4			574
iu	俞		yu2			574
ang	倆	俩	liang3			573
i	祇	只	qi2			573
au	邵		shau4			573
ang	嘗	尝	chang2			573
iu	獄	狱	yu1			572
en	苯		ben3			571
au	徼		jau1			571
au	徼		jau4			571
i	擗		bi2			571
i	咩		mi3			571
y	緻	致	zhy4			570
ui	蕊		rhui3			570
ing	汀		ting1			569
ing	汀		ting4			569
i	翊		yi1			568
ing	釘	钉	ding1			568
ing	釘	钉	ding4			568
i	咪		mi3			568
u	暮		mu4			567
en	唇		zhen1			567
ou	舟		zhou1			566
e	歇		xe1			566
au	妖		yau1			565
an	銜	衔	xan2			565
u	鍍	镀	tu2			564
u	鍍	镀	du4			564
ing	柄		bing4			564
an	嵐	岚	lan2			562
u	妒		du4			562
in	茵		yin1			562
an	卵		luan3			561
o	卵		luo3			561
ang	妨		fang1			561
ang	妨		fang4			561
an	汗		gan1			560
an	汗		han2			560
an	汗		han4			560
a	扎		zha1			560
ing	擎		qing2			559
an	範	范	fan4			559
an	騫	骞	qan1			558
ung	彤		tung2			558
e	羯		je1			557
ui	贅	赘	zhui4			557
o	婆		puo2			557
ui	綴	缀	zhui4			557
o	綴	缀	zhuo1			557
ou	鉤	钩	gou1			556
y	蝕	蚀	shy2			556
ang	萇	苌	chang2			555
ui	磥		lui3			554
o	割		geo1			554
au	皓		hau4			554
o	勃		buo2			554
y	滯	滞	zhy4			553
i	痞		bi3			553
i	痞		bi4			553
u	痞		fu3			553
an	悛		ciuan1			552
u	伏		fu2			552
u	伏		fu4			552
in	衾		qin1			552
au	撩		liau2			552
au	撩		liau3			552
ang	爽		shuang3			551
a	蛙		wa1			551
u	疰		zhu4			550
ang	償	偿	chang2			549
ang	償	偿	shang3			549
ang	償	偿	shang4			549
ai	崴		wai1			548
an	汎	泛	fan4			548
eng	汎	泛	feng2			548
o	褐		heo2			547
ung	侗		tung1			546
ung	侗		tung2			546
ung	侗		tung3			546
o	禍	祸	huo4			545
ang	燙	烫	tang4			545
ang	瀧	泷	shuang1			545
ang	瀧	泷	lang2			545
ung	瀧	泷	lung2			545
y	翅		shy4			542
ui	芛		wui3			542
iu	芛		yu1			542
ou	狩		shou4			541
ing	蓂		ming2			541
i	蓂		mi1			541
u	蝠		fu1			539
i	惕		ti1			539
ang	昶		chang3			539
ang	昶		chang4			539
ai	埃		ai1			538
ung	炵		tung1			538
ung	炵		tung2			538
i	琵		pi2			537
ai	乖		guai1			535
an	岍		qan1			535
ou	陬		zhou1			535
ou	陬		zou1			535
iu	陬		ziu1			535
y	秪		zhy1			535
u	褚		chu3			535
u	褚		zhu3			535
i	膍		pi2			535
u	笏		hu1			534
iung	憌		qung2			534
an	瑄		siuan1			533
i	砩		fi4			532
an	斬	斩	zhan3			532
u	邾		zhu1			531
o	輒	辄	zheo1			531
