aqchiuqxi 阿屈死
huaqsy 甩水
huaqtzy 豁嘴
huechi 晦氣
huendu 昏塗
huenxin 葷腥
huentse 葷菜
hueuxi 歡喜
huezen 灰塵
haqugo 瞎唩搞
hugaq 火夾
huseq 貨色
hutsau 火車
hutzoq 火燭
huyoe 火油
huzaq 火着
haqwudio 瞎和調
hauyanchichi 花癢欠欠
hoyahognian 好爺好娘
hoqyoqke 淴浴間
hauyanxixi 呵癢嬉嬉
hezeqbi 海蜇皮
hezeqbitzy 海蜇皮子
hezeqdoe 海蜇頭
iankoe 陰溝
iqbencianwu 一盆漿糊
iqcidoe 一記頭
ichi 懨氣
icin 已經
iqciaqiqsoe 一腳一手
iocinkuetzy 要緊關子
iqciaqloqsoe 一腳落手
iqciurerau 一句言話
iqciaqchi 一腳去
iocinveqsaq 要緊勿煞
iqdoeiqno 一頭一腦
indoeli 陰頭裏
idoe 咿頭
iqdjiseu 一期歲
indoeveqchi 因頭勿起
ioeelyeu 幼兒園
ieu 宛（大宛）
iognikoqloq 幺二角甪
iqgnisyci 一年四季
iqgniqtoya 一日到夜
iqkadoe 一家頭
inkoedon 陰溝洞
iqkaiqtan 一家一當
iqkuaqlianxian 一刮兩響
iqkamen 一家門
iqkeutzy 一乾子
iqkheqveqdin 一刻勿停
iqluhu 一路貨
iqlulan 一路浪
inlianthichi 陰涼天氣
ilanchinchin 煙冷清清
imi 咿面
iqmuiqyan 一模一樣
iqmenxinsy 一門心思
inciq 隂隲
indoe 因頭
iqngiqzeq 一五一十
inke 應該
inko 印糕
inkoe 陰溝
inlian 蔭涼
iqngenge 一眼眼
insen 陰損
insy 陰世
inthi 陰天
intio 陰刁
incin 英俊
intzy 影子
inwe 因為
ionge 腰眼
ioemeq 幽默
ioho 要好
iomeq 要嚜
iomin 要命
iondjiq 甬劇
ione 要乃
iotzy 腰子
iozy 要是
iqpochi 一包氣
iqphiohuseq 一票貨色
iqpensy 一本書
iqpautzaq 一把紮
iqbu 一步
iqchieu 一圈
iqci 一記
iqciaq 一腳
iqcin 一徑
iqcin 一斤
iqciq 一級
iqciu 一句
iqdeu 一段
iqdi 一地
iqdin 一定
iqdji 一件
iqdo 一道
iqfon 一封
iqfu 一付
iqgni 一年
iqgniq 一日
iqken 一根
iqkhoe 一口
iqkhu 一棵
iqkhue 一塊
iqku 一股
iqlu 一路
iqmen 一門
iqnge 一眼
iqpau 一把
iqpen 一本
iqphi 一片
iqpi 一遍
iqpo 一包
iqreq 一個
iqsen 一身
iqtaq 一搭
iqten 一等
iqthio 一跳
iqtho 一套
iqti 一點
iqto 一到
iqtsen 一寸
iqchian 一槍
iqtzan 一張
iqtzaq 一隻
iqtzoq 一桌
iqueu 一碗
iqvan 一房
iqxiq 一歇
iqya 一夜
iqzeq 一直
ireq 咿個
iqreqgnin 一個人
iroe 以後
isaq 淹殺
insyciu 陰司鬼
iqsoeiqciaq 一手一腳
iqsaniqsy 一生一世
iqseqiqyan 一式一樣
insykuaqtaq 陰司刮搭
insythi 陰勢天
inxiqvutzon 影息無蹤
iqsenveqxian 一聲勿響
itaq 咿墶
iotzybin 腰子病
intzobiqdoe 鷹爪鼻頭
iqtaqiqtan 一搭一檔
iqtiiqwaq 一點一劃
iqthaqkuaqtzy 一搨括子
itaqli 咿墶裏
itoe 煙斗
itzyron 胭脂紅
iqthisyka 一天世界
iqchintzo 一清早
itzyti 煙紙店
iqthaqwudu 一塌糊塗
iqthiqyaq 一帖藥
iqcinzaq 一進宅
iqtoqzethu 一沰涎唾
itzy 燕子
itzy 椅子
itzy 阏氏
ieuuanciucio 冤枉鬼叫
iveqku 意勿過
ixi 演戲
ixiq 咿歇
ixiqli 咿歇裏
iqxiqveqdin 一歇勿停
iqxiqxiq 一歇歇
ixiqzenkuan 咿歇辰光
inyandoe 陰陽頭
iyeu 醫院
inyanmi 陰陽面
ioyanmyan 要樣嘸樣
iqyansan 一樣生
izan 衣裳
iqzydoelan 一時頭哴
iozanioteu 要長要短
iqzysekheq 一時三刻
kadjiu 傢具
kazanliteu 家長裏短
kandi 耕田
kanmi 粳米
kanve 更飯
kafan 家坊
kakan 解剛
kankan 剛剛
kanmen 肛門
kanpe 鋼板
kanpiq 鋼筆
kantzan 講張
kanwu 江湖
kaqli 夾裏
kaqlon 夾弄
kaqmeq 格嚜
kaqna 隔奶
kaqpiq 隔壁
kaqxin 夾心
kasan 家生
kasoe 假手
konaqtia 公阿爹
katan 家當
kaugnioe 蝸牛
kayi 階沿
kazanve 家常飯
kazy 庎廚
kuaqbiciu 刮皮鬼
koebikoyaq 狗皮膏藥
kaubimo 瓜皮帽
kanbaqxian 講白相
kheubaqxi 看白戲
kancindoe 講斤頭
khuciaqkueu 褲腳管
keuciaqkan 泔腳缸
kheuciaqlu 看腳路
keuciaqpeqdoe 泔腳缽頭
khueucinta 寬緊帶
koecitaqpe 勾肩搭背
khondondi 空銅鈿
khaqdanke 客堂間
khudanke 課堂間
kudoekueuciaq 箍頭官腳
kaqdoekaqno 夾頭夾腦
kueqdoekueqno 骨頭骨腦
kuandoeli 光頭裏
khaqdemeqten 揩檯抹凳
knioedoengaqcin 扭頭齾頸
khedoepho 開頭砲
khaqdepu 揩檯布
kudonseq 古銅色
khaudoesy 跨頭勢
khedoeto 開頭刀
knioedoetoqcin 扭頭厾頸
kudoetzaqciaq 箍頭紮腳
khondoetzyphio 空頭支票
kheqdoezon 瞌頭蟲
khedoezenkuan 開頭辰光
kecian 尷僵
kedoe 蓋頭
kegniq 改日
khueneko 睏晏覺
keka 尷尬
kele 橄欖
kenciaq 跟腳
kenka 更加
keqdo 割稻
keqhu 佮夥
keqman 蛤蜢
keqmaq 割麥
keqse 合腮
keqseu 合算
keqtaq 疙瘩
keqtu 鴿多
keqtzy 鴿子
keqtzy 鴿嘴
kereq 該個
kexi 該死
khuenetzo 睏晏早
ketio 賅刁
ketio 奸刁
keudon 感動
keumi 乾麵
keutzau 甘蔗
khefantzy 開方子
kugnidoe 過念頭
kuagnindoe 怪人頭
kuaqgnikuan 摑耳光
kaqgnikaqciq 夾年夾節
khegnitzy 開年仔
khoegnitu 摳耳朵
kaqgniqwe 隔日會
kegniqwe 改日會
khafi 咖啡
khami 揩面
khaphi 卡片
khapu 揩布
khaqdan 客堂
khaqgnin 客人
khaqkhoe 揢扣
khaqkhue 掐塊
khaqmeu 客滿
khatheq 揩脫
khatsau 卡車
khayoe 揩油
khebi 鉛皮
khebu 開步
khedjioe 鉛球
khedoe 開頭
khedon 鉛桶
khegni 開年
khehau 開化
khehuen 開葷
kheka 開價
kheke 開間
khekue 開關
khepiq 鉛筆
kheqlo 栲栳
kheqsoe 咳嗽
khese 開衫
khexin 開心
khexio 開銷
khesy 開水
khesy 開始
khetsaq 開尺
khetsaq 開坼
khetsen 開春
khetsen 開秤
khetsen 開皴
khetsu 開初
kheubin 看病
kheufaq 看法
kheuxian 看相
kheuzen 看承
kheyan 開洋
kheyan 開烊
khezan 開場
khejin 開晴
khocioe 考究
khodin 敲定
khoemoe 佝瞀
khoenge 眴眼
khofu 烤麩
khondio 空調
khontan 空檔
khopan 拷浜
khopi 拷邊
khosy 考試
kohautzy 叫化子
khehutsan 開伙倉
khui 可以
khuio 褲腰
khuleq 呵叻
khualoq 快樂
khuati 快點
khuatzy 筷子
khuaweq 快活
khuciaq 褲腳
khucin 奎勁
khudan 課堂
khudoe 苦頭
khuedoe 塊頭
khueni 睏衣
khuenko 睏覺
khuenrau 睏話
khuepen 虧本
khueqpe 闊背
khueusy 寬舒
khuloq 可樂
khuno 苦腦
khutsa 褲衩
khutzy 褲子
khuzen 課程
kaichi 解懨氣
keuiokeucin 趕要趕緊
khaiqphu 揩一浦
kheuisan 看醫生
kuiveqchi 過意勿去
knianknianbubu 孃孃婆婆
kekadoe 尷尬頭
khoekhaqkhoe 扣揢扣
kheukheu 看看
kheukheukheu 看看看
kukaloe 過街樓
koqkoqloqloq 角角甪甪
kokacin 攪家精
khekhoeve 開口飯
koliban 絞捩棒
koqloqdoe 角甪頭
khuludoe 骷顱頭
khulandoe 骷郎頭
kuanlandoe 光郎頭
keulandoe 趕浪頭
kalindoe 假領頭
kulodoetzy 孤老頭子
khulife 窠裏反
khuenloqhueq 睏落寣
kualikuachi 怪裏怪氣
kueqlenlenyeu 骨輪輪圓
kheqlumi 克羅米
kelemo 橄欖帽
kheulannge 看冷眼
kuaqlaqsontseu 括辣鬆脆
keqloqtzoq 胳落竹
kulothabu 孤老太婆
kheulowanliq 看老黃曆
kumhuaqcia 姑母阿姐
kheumobin 看毛病
khuenmandoeli 睏夢頭裏
keqmeqhole 葛末好唻
khaqmikhon 揩面孔
kaqmankaqli 夾忙夾裏
khomoqyu 敲木魚
kaneugnin 嫁男人
knianknian 孃孃
knizoq 捻鑿
kaneung 嫁囡兒
kheungeseq 看顏色
khunotzy 苦腦子
khoengatsy 摳牙齒
khengeuciu 開眼烏龜
koeleq 勾勒
koeloe 佝僂
koetzy 鉤子
koezy 夠事
kondi 工鈿
kondoe 工頭
konkhu 功課
konkon 公公
konsy 公司
kontsan 工廠
kontzoq 工作
kontzy 工資
koqdoe 角頭
koqloe 擱樓
koqsoq 角索
koqthiq 角鐵
koqtzy 角子
koqtzy 漷嘴
koqzaq 覺着
kosen 高陞
kosu 告訴
koten 高墩
kotzan 交帳
koyun 告運
kojia 告塮
khuenpidoe 睏扁頭
khaqpignin 客邊人
khaqpangnin 客邦人
khopei 靠背椅
khopeitzy 靠背椅子
kephiku 蓋屁股
khopiqkele 敲癟橄欖
khopikele 敲扁橄欖
kanpeloqpe 更班落班
kheqpenga 闊板牙
koepitotzo 狗屄倒糟
kanpoqxi 江北戲
kenphizon 跟屁蟲
kanrerau 講言話
kheronten 開紅燈
khuasoeciaq 快手腳
kaqsoqchi 隔宿氣
kuenxioedjioe 滾繡球
khonxinduli 空心肚裏
khuenseqhueq 睏失寣
kuaxinkeu 乖心乾
khuaqsoekhuaqciaq 快手快腳
khesymi 開司米
kosyxisan 教書先生
kaqsoetzan 隔手帳
khonxinthandeu 空心湯糰
khoexinuaqte 摳心挖膽
kheuxiyancin 看西洋景
katzybu 家主婆
kantsaqdoe 講斥頭
kuenthiqgue 滾鐵環
khotzoqkan 敲竹槓
khetankhu 開襠褲
katsykange 假痴假呆
kaqchiqkaqpaq 夾七夾八
kochiqkopaq 攪七攪八
koqthankoqsy 漷湯漷水
khentzykhentzy 掯支掯支
kaqtzykaqzeq 唊嘴唊舌
kentzykenzeq 跟嘴跟舌
kaqchianli 隔槍籬
kautzyli 瓜子臉
kantzeuloqtzeu 更轉落轉
khuentsymonton 睏痴夢懂
khotzyng 烤子魚
koqtzypau 漷嘴巴
khoqtzoqpipau 哭作臂把
khethisu 開天鎖
kuaqciqxia 刮積瀉
khethitsan 開天窗
khuentsytheq 睏痴脫
khotintzeuciaq 敲釘轉腳
khoqtsequlha 哭出烏拉
keqtzy 胳肢窩
kotzyyaq 膏滋藥
khetsuzenkuan 開初辰光
kuanhu 光火
kuantzoq 光足
kuagnin 怪人
kuaneu 乖囝
kuancin 光景
kuandoe 光頭
kuankuen 光棍
kuanmi 光麵
kuanmin 光明
kuansan 光生
kuanxi 光線
kuantzan 光張
kuaqbi 刮皮
kuaqfon 颳風
kuathe 怪胎
kuatzy 拐子
kuazan 拐杖
kubi 果皮
kuchi 過去
kudoe 過頭
kueci 會計
kuendio 滾條
kuenpi 滾邊
kueqdoe 骨頭
kueciq 關節
kuetzo 關照
kuetzy 關子
kueudoe 罐頭
kueutzan 管帳
kueutzy 管子
kueyeu 桂圓
kueyi 關係
kufu 姑夫
kugnian 姑娘
kuku 哥哥
kule 過來
kuleq 故勒
kuli 鼓勵
kumen 過門
kusan 孤孀
kuxiq 顧惜
kuthiq 鍋貼
kuve 過飯
kuwu 過戶
kuya 過夜
kuzy 故事
kuvangian 過房娘
kuvangnitzy 過房兒子
kueveroq 關飯學
keveqsoxian 揀佛燒香
kuaveqteq 怪勿得
kuvanya 過房爺
khuenveqzaq 睏勿着
khewekhoe 開胃口
khewulesy 開荷蘭水
koxiuqaq 高血壓
kheqxiandoe 磕響頭
kayandoe 假佯頭
kayadoe 假爺頭
kheyaqfan 開藥方
kheuyange 看野眼
kueyaroq 關夜學
kayizaq 階沿石
khonzendoe 空陣頭
kejigniq 改前日
kueuzewudoe 棺材戶頭
khezanxi 開場戲
ladeu 癩團
lanben 冷盆
langniq 冷熱
lankeq 冷嗝
lansy 冷水
lanban 廊棚
landoe 鎯頭
landoe 浪頭
lanfi 浪費
lantzon 郎中
lanxian 浪向
lanyi 廊簷
laqhe 垃壗
laqhu 辣火
laqla 垃拉
laqli 癩痢
laqlo 攔牢
laqmeq 垃末
laqpaq 臘八
laqsaq 辣柵
laqseq 垃圾
laqsoe 辣手
laqcio 辣椒
laqtzoq 蠟燭
laroq 賴學
lase 賴三
laxi 垃圾
loaqtia 老阿爹
laza 賴柴
lobubu 老婆婆
labuci 賴伏雞
libondoe 蓮蓬頭
leqbankueq 肋棚骨
lianbanpi 兩旁邊
lobaqseq 老白蝨
libitaqkueq 連皮搭骨
luchieuciaq 羅圈腳
loncieufon 龍捲風
loqciaqhu 落腳貨
loqchile 蹗起來
lochiqlotzu 老吃老做
lianchisan 兩氣生
lociuseqphiq 老鬼失撇
liandibi 量地皮
ladjiqbi 賴極皮
liandoebe 兩頭爿
leduciu 懶惰鬼
lodondacia 勞動大姐
leudoefaq 亂頭髮
liandufoqdu 量大福大
ledukhuedoe 爛大塊頭
loqdikhehau 落地開花
loqdile 落地雷
lodoepan 老頭浜
leduphe 懶惰坯
lodoetzy 老頭子
lidoetaqno 連頭搭腦
lindoeyan 領頭羊
lechi 來去
leciu 懶鬼
ledoe 籃頭
loegnin 老愛人
legni 爛泥
legnin 懶人
lehau 蘭花
lelio 懶料
lelu 來路
lenbeu 輪盤
lengoq 楞嘓
lentzy 楞嘴
lentzy 楞子
lenzeu 輪船
lephoq 懶扑
laqke 垃該
lese 來三
leteq 來得
leteq 懶得
lexian 雷響
lezy 來事
lohuciaqtzo 老虎腳爪
legnibusaq 爛泥菩薩
lognioepi 老牛屄
lognioese 老牛三
logasechi 老茄三千
legniten 爛泥墩
lhabin 拉平
lhansan 誏聲
lhato 拉倒
lohudji 老虎鉗
lanhandoe 冷夯頭
lohognin 老好人
lihaulhahau 連花拉花
lohaunge 老花眼
laqhucian 辣火醬
lohutzo 老虎灶
lehauciqdoe 蘭花節頭
lohuthitsan 老虎天窗
lohuthaqtsau 老虎榻車
lianueu 兩碗
lianbu 兩步
lianchieu 兩圈
lianci 兩記
liancin 兩斤
lianciu 兩句
liandji 兩件
lianfon 兩封
liangni 兩年
lianken 兩根
liankhoe 兩口
liankhue 兩塊
liankuan 亮光
lianmen 兩門
lianphi 兩片
lianpi 兩遍
lianreq 兩個
liantaq 兩搭
lianti 糧店
liantzan 兩張
liantzaq 兩隻
lianyan 兩樣
licin 連襟
lidio 練條
lidoe 裏頭
lihau 蓮花
loqinin 綠蔭蔭
likhe 離開
leiokaqpiq 攔腰隔壁
lilo 連牢
linben 領笨
linben 臨盆
linde 靈臺
lindji 零件
lindoe 領頭
lindoe 零頭
linfen 零分
linkuan 靈光
linse 零碎
linxiq 吝惜
lintho 領套
lintsaq 零拆
linchin 靈清
lintzy 翎子
linwen 靈魂
linyu 淋雨
linzeq 零食
lioefi 流飛
lioeman 流氓
lioexin 流星
liotzoq 料作
lipa 禮拜
liqchi 力氣
liqden 立囤
liqdo 力道
liqlaq 立垃
liqpen 曆本
liqxiq 粒屑
liqtzy 栗子
liqtzy 荔枝
liqvon 裂縫
lithon 聯通
lito 鐮刀
litzy 李子
liufi 旅費
liukueu 旅館
liuzau 旅社
lixian 裏向
lizen 利潤
liankadoe 兩家頭
likodan 梨膏糖
loekhoefon 漏口風
lokugnian 老姑娘
lokonkon 老公公
lukukasan 鑼鼓家生
lankoqloq 冷角甪
lakeqpau 癩蛤霸
lakapau 癩疥霸
lokupechi 老古板氣
lakeqpautsau 癩蛤霸車
liankuanrau 亮光下
lokurerau 老古言話
lankhesy 冷開水
lokuaqtse 老刮鏟
lokuton 老古董
lakatsan 癩疥瘡
lonkhantsuzen 礱糠搓繩
lolodoe 老老頭
laqlidoe 癩痢頭
leledoe 癗癗頭
lanlangniqgniq 冷冷熱熱
leliohu 爛料貨
lhulilhusu 囉裏囉蘇
lolilotzo 老裏老早
leliophe 懶料坯
lhulipaqsu 囉裏八蘇
lolipaqtzo 老裏八早
loleso 老來少
loqleusechi 碌亂三千
laqlaqwan 蠟蠟黃
lemaubi 爛麻皮
lomibi 老面皮
lumauciaq 露馬腳
lanmenhu 冷門貨
lanmikhon 老面孔
lomenkhe 老門檻
lomenlokhe 老門老檻
loqmenloqkhe 落門落檻
laqmaqsandoe 垃陌生頭
lomhutzy 老母豬
lianmiwan 兩面黃
liqmauzodjio 立馬造橋
loneugnin 老男人
lhongakhua 撈外快
lingpe 鯉魚斑
loaq 老鴨
loi 老衣
loin 老鷹
looq 老屋
lobin 癆病
loboq 蘿蔔
lobu 老婆
locio 老交
lociu 老鬼
lodoe 老頭
loeze 漏涎
loga 老茄
lohu 老虎
loke 牢監
lokhen 老黕
lokhue 老奎
lokon 老公
lolaq 老辣
londan 弄堂
londoe 龍頭
longon 攏共
lonkhan 礱糠
lonson 弄慫
lontzy 聾子
lopen 老本
lopo 老鴇
lopu 老布
loqde 落彈
loqdji 六件
loqdoe 綠豆
loqzoq 碌碡
loqgni 六年
loqkhe 樂開
loqleu 絡亂
loqpe 落班
loqphaq 落魄
loqpoq 落北
loqreq 六個
loqxiq 落雪
loqsu 落蘇
loqsy 落水
loqtheq 落脫
loqthoq 落拓
loqtzan 落葬
loqwe 樂惠
loqxian 落鄉
loqyan 落樣
loqyu 落雨
loqzau 綠茶
loau 老鴉
losoe 老手
losy 老師
lotha 老太
lothan 老湯
lotia 老爹
lochian 老槍
lochian 老嗆
lotsy 老鼠
locioe 老酒
lotzo 老早
loxion 老兄
loya 老爺
loyan 老洋
lozon 老蟲
lozy 老是
lapachian 喇叭腔
lianpidoe 兩邊頭
lipagniq 禮拜日
lapahau 喇叭花
lephiku 爛屁股
leqpaureu 捋把汗
lephuxi 爛鋪絮
lapaxian 喇叭箱
lipathi 禮拜天
leurausechi 亂話三千
laroqcin 賴學精
lhoxiqboqhue 撈錫箔灰
lisedjiun 連衫裙
lisekhu 連衫褲
linsaukaqpiq 鄰舍隔壁
lasoelaciaq 攋手攋腳
laqsoelaqciaq 辣手辣腳
leuseqleurau 亂說亂話
loselosy 老三老四
laqxipiqse 垃圾癟三
leqsaqtioxi 勒殺吊死
lothabu 老太婆
loqthanci 落湯雞
liqtzycin 栗子頸
litseqdo 練出道
loqciqdoe 六節頭
lotsygniu 老處女
leuthaqiqpho 亂搨一泡
litankhu 連襠褲
lochiqlopaq 老七老八
lantzoqmikhon 冷粥面孔
litanmautzy 連襠碼子
laqtzoqpo 蠟燭包
leuchiqpaqtzo 亂七八糟
lontseqsy 龍出水
lotzoti 老早底
lotitzy 老底子
lothatha 老太太
laqthaqthichi 邋遢天氣
leteqtzenho 來得正好
latawutzy 攋帶鬍子
lude 露臺
ludo 路道
ludoe 露頭
ludoe 蘆頭
leugni 爛污泥
luku 鑼鼓
lulan 路浪
lusu 蘆黍
lusy 螺絲
lusy 螺螄
lusy 露水
luthi 露梯
luwe 蘆葦
luxipo 卵細胞
lanvedoe 冷飯頭
lowudoe 老戶頭
lewugni 爛糊泥
lowangnioe 老黃牛
lewumi 爛糊麵
loweqsen 老猢猻
lixiandoe 裏向頭
lonxiqsy 龍吸水
loyoebin 老油瓶
loyandi 老洋鈿
loyoedio 老油條
loyahu 老爺貨
linyoeiqkon 另有一功
loqyuthi 落雨天
leyinyin 藍盈盈
lozeqdoe 老實頭
lozeqgnin 老實人
lhuzenmo 擼順毛
linzymi 領市面
linzymeqciq 臨時末結
leqzeqpaqku 捋舌八哥
loqzansy 落場勢
lozeqse 老十三
lozoexin 老壽星
liqzysekheq 立時三刻
lazathi 賴惹天
linzyveqciaq 臨時佛腳
manmen 猛門
makhaq 買客
maliq 賣力
malo 賣老
mamen 蠻門
mami 買米
mamin 賣命
manci 忘記
mangnin 望人
manman 望望
manrau 夢話
manroe 望後
manzan 忙上
maqkeu 麥稈
maqtzy 襪子
maxian 賣相
matseq 賣出
matzan 買賬
macin 買進
maubi 麻皮
maudaq 馬達
maude 麻袋
maudjioe 麻球
maudon 馬桶
maugni 螞蟻
maukaq 馬夾
maulu 馬路
mauphi 馬屁
mauciaq 麻雀
mautzy 麻子
mauve 麻煩
mauvu 麻腐
mauzan 馬上
mayan 賣樣
minbaqgnin 明白人
mobahu 冒牌貨
menbarodoe 門牌號頭
mociaqgniuxiu 毛腳女婿
mciaqha 嘸腳蟹
miciqkuen 面結骨
michinge 咪牽眼
mancixin 忘記心
meciuxin 霉鬼星
maudondoe 馬桶頭
madjieudoe 賣拳頭
mendjieudjieu 門拳拳
medjioeti 煤球店
medjioefonlu 煤球風爐
moqdoegnin 木頭人
maudonhuaqxi 馬桶豁筅
mhodoein 貓頭鷹
midjieukueq 面顴骨
maudonke 馬桶間
midukatse 彌陀芥菜
midubasaq 彌陀菩薩
medjioelu 煤球爐
moqdoemoqno 木頭木腦
mdoemno 嘸頭嘸腦
mdumxio 嘸大嘸小
mdoemjiu 嘸頭嘸緒
modoeneu 毛頭囝
moqdjiqpe 木屐板
modoesan 毛頭霜
mendantzy 門宕子
meudoeyun 饅頭雲
mechi 霉氣
mechi 煤氣
mefu 妹夫
mefu 霉夫
megnian 晚娘
megnin 媒人
mehau 梅花
moqelkoqtzy 木而覺之
mekue 玫瑰
meli 梅裏
melu 煤爐
meme 妹妹
memetzy 謎謎子
mennga 門牙
menchian 門腔
mendjieu 門拳
menfon 門風
menkhe 門檻
menkhuan 門框
menlu 門路
menmi 門面
menphio 門票
mensaq 門煞
menseu 門閂
mentzy 蚊子
menvan 門房
meqciq 末結
meqloq 墨綠
meqpu 抹布
meqsy 墨水
meqteq 冒頓
meqzy 物事
metzoe 慢走
meui 滿意
meucin 瞞緊
meudoe 饅頭
meurau 滿話
meya 晚爺
meyoe 煤油
meyon 慢用
moqgnindoexi 木人頭戲
mgniqmya 嘸日嘸夜
megniqthi 每日天
migninthan 米韌湯
magninjin 買人情
mhamha 媽媽
mhaumhau 嬤嬤
mhaudoe 嘸花頭
mhegniq 每日
mhenchi 悶氣
mhmha 姆媽
mhihaungexio 瞇花眼笑
mhomi 貓咪
mihauthe 棉花胎
mauhauyu 麻花雨
mio 棉襖
miben 面盆
midio 麵條
midjieu 面顴
mido 味道
mifen 麵粉
mikhon 面孔
miomcin 嘸要嘸緊
mimo 眉毛
mindan 名堂
mingni 明年
minhau 明蝦
mintzo 明朝
minzy 名字
mipau 尾巴
mipin 麵餅
mipo 麵包
miqfon 蜜蜂
miqtheu 密探
miqjiq 篾蓆
miron 米紅
miti 麵店
mitzy 面子
mivu 迷霧
miwan 米黃
miji 面前
mizoq 面熟
moqizentzoe 木已成舟
maqkheqfon 麥克風
menkheko 門檻高
maqkeqmaqkeq 麥克麥克
meukhoererau 滿口言話
mekeutse 霉乾菜
mikatzy 面架子
makuetzy 買關子
makueciq 買關節
menkhecin 門檻精
mikeqtaq 麵疙瘩
mkazy 嘸介事
meqlihau 茉莉花
maulinpankau 馬鈴浜瓜
mauliqtzy 麻荔枝
moqloti 摸老底
mauliqtzy 麻荔子
minmincio 明明較
mmeq 嘸沒
manmengnin 猛門人
meqmeqheq 墨墨黑
mmeqkueyi 嘸沒關係
mmeqleq 嘸沒勒
miqmiqmanman 密密稝稝
menmioq 門面屋
mmeqrerau 嘸沒言話
mamitzy 買面子
minmintzy 明明仔
menmechintzen 門楣清正
momoyu 毛毛雨
momozon 毛毛蟲
moqngkon 摸魚公
moqngoexi 木偶戲
monge 卯眼
mobin 毛病
mocin 毛巾
modoe 毛豆
moete 牡丹
mohu 毛貨
monrau 夢話
montson 懵沖
mopi 毛邊
mopiq 毛筆
moqdoe 木頭
moqel 木耳
moqgoq 木嘓
moqhau 木花
moqkon 木工
moqlio 木料
moqtha 木太
moqxion 木兄
moqjian 木匠
motzoq 毛竹
motzy 帽子
mipaukueusy 尾巴官司
minpalaqreq 明擺垃個
mauphicin 馬屁精
mipotsau 麵包車
meqpeqthonfon 沒不通風
maphioyeu 賣票員
mirondandan 面紅堂堂
msa 嘸啥
msacizy 嘸啥幾時
mausudan 麻酥糖
maqsangnin 陌生人
mausekheq 馬賽克
msakueyi 嘸啥關係
mausemen 罵山門
mansoemanciaq 忙手忙腳
maqxinge 麥粞眼
msaraudoe 嘸啥話頭
msasa 嘸啥啥
mxinxian 嘸心想
misauxi 棉紗線
misotzoq 米燒粥
maucianba 麻將牌
meqcincin 墨晶鏡
metzenchi 霉氣
mtaqdoe 嘸搭頭
mchindoe 嘸清頭
meutankhu 滿襠褲
mitemi 面對面
mintanmin 明打明
moqtzymoqkoq 木知木覺
mchimve 嘸千嘸萬
moqthupe 木拖板
moqthura 木拖鞋
mithansy 面湯水
muthoqtsau 摩托車
mintzowe 明朝會
muku 蘑菇
mutzy 模子
mauveiqci 麻煩一記
maqwudiq 麥蝴蝶
mxitsan 嘸戲唱
manyeucin 望遠鏡
mayagnindoe 賣野人頭
muyankon 磨洋工
meyoelu 煤油爐
manyange 望野眼
meyoeten 煤油燈
mayanveqsaq 賣樣勿煞
mzeudoe 嘸纏頭
menjidoe 門前頭
mizoqmaqsan 面熟陌生
mizanmiteu 面長面短
mizanng 麵杖魚
moqzeti 木材店
manzanyi 盲腸炎
nadoe 奶頭
nagnian 奶娘
nakhue 奶塊
namha 奶媽
nana 奶奶
nanen 哪能
naqhan 吶亨
natsoe 奶臭
nausoe 拿手
naxian 奶香
nganbanngan 硬碰硬
lonbaqxian 弄白相
ngoqchidoe 鶴起頭
nganchidoe 昂起頭
nganchiqngantzu 硬吃硬做
ngadoegnin 外頭人
ngadignin 外地人
ngudeli 鵝蛋臉
negnin 內人
neku 難過
nepe 難般
neran 難行
neran 內行
neung 囡兒
neugnin 男人
neugniq 暖熱
neuhe 南壗
neuka 男家
neukau 南瓜
neuku 暖鍋
neumi 南面
newe 難為
neyon 內容
ngau 牙污
ngabu 外婆
ngadi 外地
ngadoe 外頭
ngancin 硬勁
ngandjian 硬強
ngandoe 硬頭
nganpan 硬繃
ngansan 硬傷
ngantsan 硬撐
ngantsen 硬襯
ngantzan 硬張
ngantzaq 硬紮
nganwan 硬橫
ngagnin 牙齦
ngagnioq 牙肉
ngakhua 外快
ngako 牙膏
ngakon 外公
ngami 外面
ngaqkhoe 齾口
ngaqtheq 齾脫
ngasan 外甥
ngasan 外孫
ngaseq 牙刷
ngasu 牙鬚
ngatho 外套
ngatsy 牙齒
ngatzy 牙子
ngaube 瓦爿
ngauphi 瓦片
ngogniqciaq 熬日腳
ngdji 五件
ngenge 眼眼
ngeu 眼污
ngebaq 眼白
ngebi 眼皮
ngechieu 眼圈
ngedan 眼堂
ngede 眼潭
ngefon 眼風
ngegniq 眼熱
ngehu 眼火
ngekhoe 礙口
ngekhuan 眼眶
ngekuan 眼光
ngeseq 顏色
ngetsy 眼眵
ngecin 眼睛
ngeyan 眼癢
ngezy 礙事
nggni 五年
neugninka 男人家
ngoeseq 藕色
ngoezeu 偶然
ngokhoe 咬口
ngoqng 鱷魚
ngreq 五個
ngxi 魚鮮
ngognitu 咬耳朵
nggniqtzon 忤逆種
ngtzy 魚子
ngugni 我伲
ngureq 我個
ngyeu 魚圓
nhamoumiduveq 南无阿弥陀佛
nheunheu 囡囡
ngehauloqhau 眼花綠花
ngheloqtzon 五顑六腫
nhna 唔奶
ngaqkueqdoe 額骨頭
